,,,
lego technic,,,
,,,
De lego technic onderdelen staan hieronder vermeld met een zelfgedefinieerde naam.,,,
Verdere informatie is terug te vinden met behulp van het componentnummer.,,,
,,,
naam,componentnummer,,aantal
,,,
voorwielas,4263624,,2
bevestiging voorwielas,4225033,,2
velg,4496707,,4
band,4235705,,4
,,,
blokje 3 gaten,4153718,,3
blokje 15 gaten,4163147,,2
blokje  3 gaten boven-boven-zij,4173970,,2
blokje 3 gaten boven-zij-boven,4128598,,4
blokje 2 gaten dun,4186678,,4
,,,
L-vormig blokje 5x3,4143154,,2
L-vormig blokje 4x2,4141270,,2
L-vormig blokje 3x3 dun,4114741,,6
,,,
kruisstaaf 16 mm,4142865,,2
kruisstaaf 24 mm,4211815,,4
kruisstaaf 56 mm,4211805,,4
kruisstaaf 96 mm,370826,,4
,,,
connectiepin rond 16 mm,4121715,,12
connectiepin rond-kruis 16 mm,4206482,,2
,,,
cilindrisch tussenstuk 4 mm,4211573,,4
cilindrisch tussenstuk 8 mm,4211622,,10
cilindrisch tussenstuk 16 mm,4211543,,1
,,,
,,totaal:,80